개방서비스명,상세영업상태명,도로명전체주소,도로명우편번호,사업장명,좌표정보x,좌표정보y
국제물류주선업,운행,"부산광역시 중구 중앙대로 63, 부산우체국 8층(중앙동3가)",48931,(주)트랜스포트코리아,385561.6501,180152.7381
국제물류주선업,운행,"부산광역시 중구 중앙대로 63, 부산우체국 9층 (중앙동3가)",48931,(주)삼천기업,385561.6501,180152.7381
국제물류주선업,운행,"부산광역시 중구 중앙대로 63, 부산우체국보험회관 6층 (중앙동3가)",48931,(주)비투라인,385561.6501,180152.7381
국제물류주선업,운행,"부산광역시 중구 중앙대로 63, 부산우체국 11층 (중앙동3가)",48931,(주)에스케이유코리아,385561.6501,180152.7381
국제물류주선업,운행,"부산광역시 중구 40계단길 4-10, 5층(중앙동4가)",48929,뉴월드씨앤에어(주),385563.5504,180299.8964
국제물류주선업,운행,"부산광역시 중구 중앙대로 75-1, 중앙빌딩 5층 (중앙동4가)",48929,대한벌크쉬핑(주),385564.4558,180271.1263
국제물류주선업,운행,"부산광역시 중구 중앙대로 75-1, 중앙빌딩 5층 (중앙동4가)",48929,(주)플러스라인,385564.4558,180271.1263
국제물류주선업,운행,부산광역시 중구 해관로 30 (중앙동2가),48956,(주)팬스타엔터프라이즈,385565.6879,179949.4993
국제물류주선업,운행,"부산광역시 중구 해관로 30, 팬스타크루즈프라자 (중앙동2가)",48957,(주)팬스타라인닷컴,385565.6879,179949.4993
국제물류주선업,운행,"부산광역시 중구 대청로 148, 3층(중앙동2가)",48957,(주)영성해운항공,385576.6257,180081.5348
국제물류주선업,운행,"부산광역시 중구 중앙대로 117, 독일빌딩 2층(대창동1가)",48924,(주) 와이에스글로벌,385586.4623,180684.2539
국제물류주선업,운행,"부산광역시 중구 중앙대로 119, 상현빌딩 4층 (대창동1가)",48924,성보종합물류(주),385592.0432,180697.8084
국제물류주선업,운행,"부산광역시 중구 중앙대로 21, 부산데파트 506호(중앙동6가)",48955,에코로지스틱(주),385601.6092,179713.9217
국제물류주선업,운행,"부산광역시 중구 중앙대로 102, 팬오션(주)부산빌딩 7층(중앙동4가)",48938,우림물류(주),385606.5817,180536.0526
국제물류주선업,운행,"부산광역시 중구 중앙대로 102, 팬오션부산빌딩 6층 601-1호(중앙동4가)",48938,세중통운(주),385606.5817,180536.0526
국제물류주선업,운행,"부산광역시 중구 중앙대로 102, 팬오션빌딩 902호(중앙동4가)",48938,(주)대현,385606.5817,180536.0526
국제물류주선업,운행,"부산광역시 중구 중앙대로 102, 팬오션(주)부산빌딩 502호 (중앙동4가)",48938,(주)신익,385606.5817,180536.0526
국제물류주선업,운행,"부산광역시 중구 중앙대로 102, 팬오션(주)부산빌딩 1204호 (중앙동4가)",48938,(주)건영물류,385606.5817,180536.0526
국제물류주선업,운행,"부산광역시 중구 중앙대로 102, 부산빌딩 804호 (중앙동4가)",48938,(주)케이비에프,385606.5817,180536.0526
국제물류주선업,운행,"부산광역시 중구 중앙대로 102, 부산빌딩 801호 (중앙동4가)",48938,윙글로(주),385606.5817,180536.0526
국제물류주선업,운행,"부산광역시 중구 중앙대로 102, 부산빌딩 1207호 (중앙동4가)",48938,(주)디케이로직스,385606.5817,180536.0526
국제물류주선업,운행,"부산광역시 중구 중앙대로 102, STX 17층 (중앙동4가)",48938,(주)에스티엑스그린로지스,385606.5817,180536.0526
